ID,location,date,vaccine,total_vaccinations
323,Belgium,1/10/2021,Oxford/AstraZeneca,2834197
324,Belgium,1/10/2021,Pfizer/BioNTech,10914602
325,Belgium,8/10/2021,Johnson&Johnson,381988
326,Belgium,8/10/2021,Moderna,1334963
327,Belgium,8/10/2021,Oxford/AstraZeneca,2834305
328,Belgium,8/10/2021,Pfizer/BioNTech,10944010
329,Belgium,15/10/2021,Johnson&Johnson,385266
330,Belgium,15/10/2021,Moderna,1337105
331,Belgium,15/10/2021,Oxford/AstraZeneca,2834426
332,Belgium,15/10/2021,Pfizer/BioNTech,10973166
333,Belgium,22/10/2021,Johnson&Johnson,385927
334,Belgium,22/10/2021,Moderna,1338229
335,Belgium,22/10/2021,Oxford/AstraZeneca,2834478
336,Belgium,22/10/2021,Pfizer/BioNTech,10980077
337,Bulgaria,1/01/2021,Pfizer/BioNTech,0
338,Bulgaria,8/01/2021,Moderna,0
339,Bulgaria,8/01/2021,Pfizer/BioNTech,13473
340,Bulgaria,15/01/2021,Moderna,491
341,Bulgaria,15/01/2021,Pfizer/BioNTech,17962
342,Bulgaria,22/01/2021,Moderna,843
343,Bulgaria,22/01/2021,Pfizer/BioNTech,25300
344,Bulgaria,29/01/2021,Moderna,1053
345,Bulgaria,29/01/2021,Pfizer/BioNTech,40072
346,Bulgaria,5/02/2021,Moderna,2207
347,Bulgaria,5/02/2021,Oxford/AstraZeneca,10
348,Bulgaria,5/02/2021,Pfizer/BioNTech,54821
349,Bulgaria,12/02/2021,Moderna,3333
350,Bulgaria,12/02/2021,Oxford/AstraZeneca,2035
351,Bulgaria,12/02/2021,Pfizer/BioNTech,70020
352,Bulgaria,19/02/2021,Moderna,6446
353,Bulgaria,19/02/2021,Oxford/AstraZeneca,28947
354,Bulgaria,19/02/2021,Pfizer/BioNTech,83960
355,Bulgaria,26/02/2021,Moderna,10475
356,Bulgaria,26/02/2021,Oxford/AstraZeneca,97630
357,Bulgaria,26/02/2021,Pfizer/BioNTech,104340
358,Bulgaria,5/03/2021,Moderna,14820
359,Bulgaria,5/03/2021,Oxford/AstraZeneca,143932
360,Bulgaria,5/03/2021,Pfizer/BioNTech,129880
361,Bulgaria,12/03/2021,Moderna,16988
362,Bulgaria,12/03/2021,Oxford/AstraZeneca,174209
363,Bulgaria,12/03/2021,Pfizer/BioNTech,147683
364,Bulgaria,19/03/2021,Moderna,20921
365,Bulgaria,19/03/2021,Oxford/AstraZeneca,179029
366,Bulgaria,19/03/2021,Pfizer/BioNTech,168956
367,Bulgaria,26/03/2021,Moderna,34004
368,Bulgaria,26/03/2021,Oxford/AstraZeneca,206835
369,Bulgaria,26/03/2021,Pfizer/BioNTech,195704
370,Bulgaria,2/04/2021,Moderna,44809
371,Bulgaria,2/04/2021,Oxford/AstraZeneca,230180
372,Bulgaria,2/04/2021,Pfizer/BioNTech,228583
373,Bulgaria,9/04/2021,Moderna,59160
374,Bulgaria,9/04/2021,Oxford/AstraZeneca,238387
375,Bulgaria,9/04/2021,Pfizer/BioNTech,275118
376,Bulgaria,16/04/2021,Johnson&Johnson,0
377,Bulgaria,16/04/2021,Moderna,74318
378,Bulgaria,16/04/2021,Oxford/AstraZeneca,241707
379,Bulgaria,16/04/2021,Pfizer/BioNTech,322422
380,Bulgaria,23/04/2021,Johnson&Johnson,0
381,Bulgaria,23/04/2021,Moderna,93241
382,Bulgaria,23/04/2021,Oxford/AstraZeneca,247383
383,Bulgaria,23/04/2021,Pfizer/BioNTech,382650
384,Bulgaria,30/04/2021,Johnson&Johnson,0
385,Bulgaria,30/04/2021,Moderna,108865
386,Bulgaria,30/04/2021,Oxford/AstraZeneca,263756
387,Bulgaria,30/04/2021,Pfizer/BioNTech,452036
388,Bulgaria,7/05/2021,Johnson&Johnson,0
389,Bulgaria,7/05/2021,Moderna,122688
390,Bulgaria,7/05/2021,Oxford/AstraZeneca,300451
391,Bulgaria,7/05/2021,Pfizer/BioNTech,514960
392,Bulgaria,14/05/2021,Johnson&Johnson,398
393,Bulgaria,14/05/2021,Moderna,145571
394,Bulgaria,14/05/2021,Oxford/AstraZeneca,364379
395,Bulgaria,14/05/2021,Pfizer/BioNTech,606439
396,Bulgaria,21/05/2021,Johnson&Johnson,2629
397,Bulgaria,21/05/2021,Moderna,165767
